user_content,expected_name,expected_args,pred_name,pred_args,json_valid,raw_output
telefon etsene,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kime telefon edeyim?""}",ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kimi aramamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient"",""question"":""Kimi aramamı istiyorsunuz?""}}"
Pazar günü bana bir uyarı koy,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Pazar günü için hangi uyarıyı koymamı istersiniz?""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Pazar günü neyi hatırlatmamı istersiniz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Pazar günü neyi hatırlatmamı istersiniz?""}}"
Kira ödemesini hatırlatır mısın,create_reminder,"{""date"": null, ""text"": ""kira öde"", ""time"": null}",create_reminder,"{""date"": null, ""text"": ""kira ödemesi yap"", ""time"": null}",True,"{""name"":""create_reminder"",""arguments"":{""text"":""kira ödemesi yap"",""date"":null,""time"":null}}"
Metni düzenleyip gönder,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Düzenlenecek metin nedir?""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Hangi metni düzenleymemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Hangi metni düzenleymemi istiyorsunuz?""}}"
E-okul veli bilgilendirmeyi aç,open_app,"{""app_name"": ""e-Okul Veli Bilgilendirme""}",request_confirmation,"{""action"": ""okul veli bilgilerini aç"", ""question"": ""Okunacak veli bilgileriniz okuma servisine yükledim.""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""okul veli bilgilerini aç"",""question"":""Okunacak veli bilgileriniz okuma servisine yükledim.""}}"
Otomatik parlaklık,ask_clarification,"{""missing_field"": ""value"", ""question"": ""Otomatik parlaklığı açayım mı kapatayım mı?""}",ask_clarification,"{""missing_field"": ""value"", ""question"": ""Otomatik parlaklık ayarını açayım mı kapatayım mı?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""value"",""question"":""Otomatik parlaklık ayarını açayım mı kapatayım mı?""}}"
Konser planı oluştur,ask_clarification,"{""missing_field"": ""date"", ""question"": ""Konser planı hangi tarihte olsun?""}",ask_clarification,"{""missing_field"": ""date"", ""question"": ""Konser hangi tarihte olsun?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""date"",""question"":""Konser hangi tarihte olsun?""}}"
Bunu anımsat,ask_clarification,"{""missing_field"": ""task"", ""question"": ""Size neyi hatırlatmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Mesajın içeriği ne olmasını istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Mesajın içeriği ne olmasını istiyorsunuz?""}}"
Uygulama seç,ask_clarification,"{""missing_field"": ""app"", ""question"": ""Mesajı SMS, WhatsApp veya Telegram üzerinden mi göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""app_name"",""question"":""Hangi uygulamayı açmamı istiyorsunuz?""}}"
şu şeyi aç,ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""setting"", ""question"": ""Hangi telefon ayarını değiştirmemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""setting"",""question"":""Hangi telefon ayarını değiştirmemi istiyorsunuz?""}}"
havalanına toplo taşımayla,start_navigation,"{""destination"": ""Havaalanı"", ""mode"": ""transit""}",start_navigation,"{""destination"": ""Havalimanı"", ""mode"": ""transit""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""Havalimanı"",""mode"":""transit""}}"
Necmi'ye whatsapp'tan yüksek enflasyon açıklandı yaz,send_message,"{""app"": ""whatsapp"", ""message"": ""Yüksek enflasyon açıklandı."", ""recipient"": ""Necmi""}",send_message,"{""app"": ""whatsapp"", ""message"": ""Hight enflasyon açıklandı."", ""recipient"": ""Necmi""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Necmi"",""message"":""Hight enflasyon açıklandı."",""app"":""whatsapp""}}"
Sinem'e telegram'dan enerji tasarrufu hakkında makale at,send_message,"{""app"": ""telegram"", ""message"": ""Enerji tasarrufu hakkında makale buldum, atıyorum."", ""recipient"": ""Sinem""}",send_message,"{""app"": ""telegram"", ""message"": ""Enerji tasarrufu hakkında makale at."", ""recipient"": ""Sinem""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Sinem"",""message"":""Enerji tasarrufu hakkında makale at."",""app"":""telegram""}}"
Bağatır'a telegram'dan prova tamamlandı yaz,send_message,"{""app"": ""telegram"", ""message"": ""Prova tamamlandı."", ""recipient"": ""Bağatır""}",send_message,"{""app"": ""telegram"", ""message"": ""Prova tamamlandı."", ""recipient"": ""Baagatir""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Baagatir"",""message"":""Prova tamamlandı."",""app"":""telegram""}}"
Metro rotası çıkar,ask_clarification,"{""missing_field"": ""destination"", ""question"": ""Metro rotasını hangi hedefe çıkarayım?""}",start_navigation,"{""destination"": ""Metro station"", ""mode"": ""driving""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""Metro station"",""mode"":""driving""}}"
Yeni kategori oluştur,ask_clarification,"{""missing_field"": ""title"", ""question"": ""Kategorinin adı ne olsun?""}",ask_clarification,"{""missing_field"": ""title"", ""question"": ""Kategoride ne yazayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""title"",""question"":""Kategoride ne yazayım?""}}"
İndirilenler klasörünü tamamen sil,request_confirmation,"{""action"": ""indirilenleri temizle"", ""question"": ""İndirilenler klasöründeki her şey kalıcı olarak silinecek. Devam etmek istiyor musunuz?""}",request_confirmation,"{""action"": ""indirilenleri sil"", ""question"": ""Tüm indirdiğiniz dosyaları cihazınızdan kaldırmak istediğinize emin misiniz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""indirilenleri sil"",""question"":""Tüm indirdiğiniz dosyaları cihazınızdan kaldırmak istediğinize emin misiniz?""}}"
Ofis eksikleri başlığına fotokopi kağıdı ve zımba teli yaz,create_note,"{""content"": ""fotokopi kağıdı ve zımba teli"", ""title"": ""Ofis eksikleri""}",create_note,"{""content"": "" Fotokopi kağıdı ve zımba teli"", ""title"": ""Ofis eksikleri""}",True,"{""name"":""create_note"",""arguments"":{""title"":""Ofis eksikleri"",""content"":"" Fotokopi kağıdı ve zımba teli""}}"
Fırındaki yemek için uyar,ask_clarification,"{""missing_field"": ""duration_minutes"", ""question"": ""Yemek için fırın süresi kaç dakika?""}",ask_clarification,"{""missing_field"": ""time"", ""question"": ""Yapılacak yemeği saat kaça kurmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""time"",""question"":""Yapılacak yemeği saat kaça kurmamı istiyorsunuz?""}}"
Dizi ara,ask_clarification,"{""missing_field"": ""query"", ""question"": ""Hangi diziyi arayayım?""}",ask_clarification,"{""missing_field"": ""query"", ""question"": ""Hangi dizi aramamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""query"",""question"":""Hangi dizi aramamı istiyorsunuz?""}}"
pazartesi saat 07:30 alarm kur,set_alarm,"{""date"": ""monday"", ""label"": ""ilaç"", ""time"": ""07:30""}",set_alarm,"{""date"": ""monday"", ""label"": null, ""time"": ""07:30""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""07:30"",""date"":""monday"",""label"":null}}"
Bugün on birde uyandır beni,set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""11:00""}",set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""10:00""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""10:00"",""date"":""today_or_next_occurrence"",""label"":null}}"
Sayacı aç,ask_clarification,"{""missing_field"": ""duration"", ""question"": ""Zamanlayıcıyı ne kadar süre için kurmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""duration_minutes"", ""question"": ""Zamanlayıcıyı ne kadar süre için kurmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""duration_minutes"",""question"":""Zamanlayıcıyı ne kadar süre için kurmamı istiyorsunuz?""}}"
Acil mesaj yolla,ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Acil mesajı kime ve ne olarak yollayayım?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}}"
Cumartesi halı saha maçı var 21:00,create_reminder,"{""date"": ""saturday"", ""text"": ""halı saha maçına git"", ""time"": ""21:00""}",create_reminder,"{""date"": ""saturday"", ""text"": ""halı saha maçını oku"", ""time"": ""21:00""}",True,"{""name"":""create_reminder"",""arguments"":{""text"":""halı saha maçını oku"",""date"":""saturday"",""time"":""21:00""}}"
kim olduğunu anlamadım,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Mesajı kime göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kimi aramamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient"",""question"":""Kimi aramamı istiyorsunuz?""}}"
kime mesaj atayım bilmiyorum,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Mesajı kime göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}}"
Watsap web qr kod okutma,search_web,"{""query"": ""WhatsApp Web giriş QR kodu okutma""}",search_web,"{""query"": ""WhatsApp uygulamasını aç ve QR kodu okumak için yap""}",True,"{""name"":""search_web"",""arguments"":{""query"":""WhatsApp uygulamasını aç ve QR kodu okumak için yap""}}"
Yüz tanıma verilerini kaldır,request_confirmation,"{""action"": ""yüz tanıma verilerini kaldır"", ""question"": ""Yüz tanıma (Face ID) verileriniz kalıcı olarak silinecek. Güvenlik için tekrar kurulum gerekebilir. Devam edilsin mi?""}",request_confirmation,"{""action"": ""yüz tanıma sil"", ""question"": ""Yüz tanıma verileriniz cihazdan kaldırmak istediğinize emin misiniz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""yüz tanıma sil"",""question"":""Yüz tanıma verileriniz cihazdan kaldırmak istediğinize emin misiniz?""}}"
başlat,ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""setting"", ""question"": ""Hangi telefon ayarını değiştirmemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""setting"",""question"":""Hangi telefon ayarını değiştirmemi istiyorsunuz?""}}"
Bozcaada feribot iskelesine yol tarifi,start_navigation,"{""destination"": ""Bozcaada feribot iskelesi"", ""mode"": ""driving""}",start_navigation,"{""destination"": ""Feribot iskelesi"", ""mode"": ""driving""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""Feribot iskelesi"",""mode"":""driving""}}"
Birisine mesaj at,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Mesajı kime göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}}"
